Location,Date,Min Delay,stop_lat,stop_lon,stop_id,predictions
ISLINGTON STATION,2023-12-20,10.0,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-21,20.0,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-22,16.0,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-25,12.5,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-27,10.0,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-30,16.333333333333332,43.645159,-79.524843,53,9.629725
ISLINGTON STATION,2023-12-31,15.0,43.645159,-79.524843,53,9.629725
JANE STATION,2023-10-01,15.666666666666666,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-02,12.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-03,12.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-06,17.5,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-07,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-08,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-10,7.5,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-11,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-13,6.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-14,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-15,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-16,12.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-19,12.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-20,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-21,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-22,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-24,0.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-25,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-26,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-27,11.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-28,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-29,20.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-30,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-10-31,13.666666666666666,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-01,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-02,30.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-04,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-05,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-06,13.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-07,30.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-08,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-09,12.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-10,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-12,15.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-14,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-15,22.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-16,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-18,0.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-19,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-20,9.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-23,15.333333333333334,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-25,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-11-30,9.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-01,4.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-02,22.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-03,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-04,0.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-06,4.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-07,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-08,21.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-09,14.666666666666666,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-11,16.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-12,9.333333333333334,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-13,0.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-14,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-15,22.666666666666668,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-17,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-18,10.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-20,0.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-22,15.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-23,9.333333333333334,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-27,9.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-28,15.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-29,8.0,43.649911,-79.484072,56,7.5471935
JANE STATION,2023-12-30,12.666666666666666,43.649911,-79.484072,56,7.5471935
KENNEDY STATION,2023-10-01,14.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-02,8.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-04,10.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-05,7.75,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-06,9.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-07,14.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-08,3.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-09,11.142857142857142,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-10,12.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-11,8.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-12,10.777777777777779,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-13,21.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-14,3.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-15,12.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-16,11.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-17,15.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-18,9.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-19,12.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-20,12.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-21,10.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-22,9.333333333333334,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-23,11.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-24,14.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-25,10.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-26,6.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-27,11.4,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-28,12.833333333333334,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-29,15.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-30,15.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-10-31,10.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-01,8.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-02,13.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-03,8.714285714285714,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-04,6.666666666666667,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-05,12.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-06,3.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-07,5.666666666666667,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-08,7.666666666666667,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-09,18.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-10,16.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-11,6.555555555555555,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-12,6.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-13,6.666666666666667,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-14,16.666666666666668,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-15,13.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-16,8.666666666666666,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-17,9.75,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-18,6.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-19,12.777777777777779,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-20,10.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-21,10.428571428571429,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-22,12.8,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-23,9.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-24,9.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-25,13.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-27,10.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-28,14.714285714285714,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-29,6.75,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-11-30,11.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-01,13.4,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-02,14.428571428571429,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-03,5.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-04,8.333333333333334,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-05,16.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-06,7.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-07,16.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-08,12.75,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-09,11.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-10,23.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-11,13.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-12,7.2,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-13,11.333333333333334,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-14,11.222222222222221,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-15,13.11111111111111,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-16,10.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-17,11.5,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-18,5.75,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-19,18.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-20,11.285714285714286,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-21,11.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-22,12.555555555555555,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-23,14.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-24,10.25,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-25,11.666666666666666,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-26,15.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-27,12.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-28,6.333333333333333,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-29,12.571428571428571,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-30,14.0,43.732739,-79.263253,58,22.327946
KENNEDY STATION,2023-12-31,6.666666666666667,43.732739,-79.263253,58,22.327946
